gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20140904_GB@SEA,1,15,0,SEA,GB,0,0,35,4-S.HAUSCHKA KICKS 71 YARDS FROM SEA 35 TO GB -6. 26-D.HARRIS TO GB 13 FOR 19 YARDS (57-M.MORGAN).,0,0,2014
20140904_GB@SEA,1,14,56,GB,SEA,1,10,13,(14:56) 27-E.LACY RIGHT TACKLE TO GB 19 FOR 6 YARDS (94-K.WILLIAMS).,0,0,2014
20140904_GB@SEA,1,14,30,GB,SEA,2,4,19,"(14:30) 27-E.LACY LEFT TACKLE TO GB 22 FOR 3 YARDS (56-C.AVRIL, 50-K.WRIGHT). PENALTY ON SEA-72-M.BENNETT, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT GB 19 - NO PLAY.",0,0,2014
20140904_GB@SEA,1,14,11,GB,SEA,1,10,24,(14:11) (SHOTGUN) 27-E.LACY UP THE MIDDLE TO GB 39 FOR 15 YARDS (54-B.WAGNER).,0,0,2014
20140904_GB@SEA,1,13,32,GB,SEA,1,10,39,"(13:32) (NO HUDDLE) 44-J.STARKS RIGHT GUARD TO GB 41 FOR 2 YARDS (31-K.CHANCELLOR, 50-K.WRIGHT).",0,0,2014
20140904_GB@SEA,1,13,6,GB,SEA,2,8,41,(13:06) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON TO GB 39 FOR -2 YARDS (50-K.WRIGHT).,0,0,2014
20140904_GB@SEA,1,12,30,GB,SEA,3,10,39,(12:30) (SHOTGUN) 12-A.RODGERS SACKED AT GB 39 FOR 0 YARDS (93-O.SCHOFIELD).,0,0,2014
20140904_GB@SEA,1,11,57,GB,SEA,4,10,39,"(11:57) 8-T.MASTHAY PUNTS 29 YARDS TO SEA 32, CENTER-61-B.GOODE. 29-E.THOMAS TO SEA 35 FOR 3 YARDS (28-S.RICHARDSON).",0,0,2014
20140904_GB@SEA,1,11,53,SEA,GB,1,10,35,"(11:53) 3-R.WILSON PASS SHORT LEFT TO 11-P.HARVIN TO SEA 39 FOR 4 YARDS (50-A.HAWK, 33-M.HYDE).",0,0,2014
20140904_GB@SEA,1,11,20,SEA,GB,2,6,39,(11:20) 24-M.LYNCH LEFT TACKLE TO SEA 44 FOR 5 YARDS (56-J.PEPPERS).,0,0,2014
20140904_GB@SEA,1,10,44,SEA,GB,3,1,44,"(10:44) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 11-P.HARVIN TO SEA 48 FOR 4 YARDS (33-M.HYDE, 50-A.HAWK).",0,0,2014
20140904_GB@SEA,1,10,10,SEA,GB,1,10,48,(10:10) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 15-J.KEARSE TO GB 44 FOR 8 YARDS (50-A.HAWK; 38-T.WILLIAMS).,0,0,2014
20140904_GB@SEA,1,9,30,SEA,GB,2,2,56,(9:30) (SHOTGUN) 22-R.TURBIN LEFT TACKLE TO GB 44 FOR NO GAIN (52-C.MATTHEWS).,0,0,2014
20140904_GB@SEA,1,8,51,SEA,GB,3,2,56,(8:51) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 86-Z.MILLER (37-S.SHIELDS).,0,0,2014
20140904_GB@SEA,1,8,44,SEA,GB,4,2,56,"(8:44) 9-J.RYAN PUNTS 32 YARDS TO GB 12, CENTER-49-C.GRESHAM, FAIR CATCH BY 18-R.COBB. PENALTY ON GB-76-M.DANIELS, RUNNING INTO THE KICKER, 5 YARDS, ENFORCED AT GB 44 - NO PLAY.",0,0,2014
20140904_GB@SEA,1,8,37,SEA,GB,1,10,61,(8:37) (SHOTGUN) 11-P.HARVIN RIGHT END PUSHED OB AT GB 26 FOR 13 YARDS (38-T.WILLIAMS).,0,0,2014
20140904_GB@SEA,1,7,58,SEA,GB,1,10,74,(7:58) (SHOTGUN) 3-R.WILSON SACKED OB AT GB 26 FOR 0 YARDS (21-H.CLINTON-DIX).,0,0,2014
20140904_GB@SEA,1,7,27,SEA,GB,2,10,74,"(7:27) 24-M.LYNCH LEFT TACKLE TO GB 21 FOR 5 YARDS (95-D.JONES, 96-M.NEAL).",0,0,2014
20140904_GB@SEA,1,6,46,SEA,GB,3,5,79,(6:46) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 89-D.BALDWIN TO GB 17 FOR 4 YARDS (38-T.WILLIAMS).,0,0,2014
20140904_GB@SEA,1,6,7,SEA,GB,4,1,83,"(6:07) 4-S.HAUSCHKA 35 YARD FIELD GOAL IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",0,0,2014
20140904_GB@SEA,1,6,3,SEA,GB,0,0,35,"4-S.HAUSCHKA KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,0,2014
20140904_GB@SEA,1,6,3,GB,SEA,1,10,20,(6:03) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON PUSHED OB AT GB 31 FOR 11 YARDS (31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,1,5,43,GB,SEA,1,10,31,"(5:43) (SHOTGUN) 12-A.RODGERS PASS SHORT RIGHT TO 27-E.LACY TO GB 26 FOR -5 YARDS (20-J.LANE, 54-B.WAGNER).",0,0,2014
